question,id_context,reference_contexts,reference
¿A qué se dedica la empresa Doña Jimena?,1902,"Doña Jimena es la marca comercial del grupo Productos J. Jiménez S. A. dedicada a la producción de turrones, bombones y dulces navideños entre otros productos. Posee tres fábricas, la principal en Alcaudete en la provincia de Jaén, otra en Sonseca, en la provincia de Toledo y la última en Noguerones (pedanía de Alcaudete) dedicada a la producción de aceite de oliva. En la actualidad está presente en 60 países, en algunos de ellos a través de filiales propias.","La marca comercial Doña Jimena se dedica a la producción de turrones, bombones y dulces navideños, entre otros productos."
¿Qué es el Expoliva?,1918,"Feria Internacional del Aceite de oliva e Industrias Afines Se trata de una feria de carácter bienal promovida desde 1990 por la Fundación del Olivar, que se en la ciudad de Jaén, en la Comunidad Autónoma de Andalucía, en España. Su carácter internacional la convierte en la referencia mundial de las ferias dedicadas al sector del aceite de oliva. Se celebra desde el año 1983, y desde 1997 tiene lugar en el Recinto Provincial de Ferias y Congresos de Jaén (IFEJA).",Expoliva es una feria internacional del aceite de oliva que se celebra cada dos años en la ciudad de Jaén.
¿Cuántos habitantes tiene Santiago de Calatrava?,1969,"Este artículo trata sobre el municipio jiennense. Para el arquitecto valenciano, véase Santiago Calatrava. Santiago de Calatrava es una localidad y municipio español situado en la parte occidental de la comarca Metropolitana de Jaén, en la provincia de Jaén. Limita con los municipios jienenses de Higuera de Calatrava, Torredonjimeno y Martos; y con los municipios cordobeses de Baena y Valenzuela. Tiene 655 habitantes (según datos del INE de 2022), sobre un término municipal de 47,66 km². Geografía humana Demografía Cuenta con una población de 657 habitantes (INE 2024). Organización político-administrativa Elecciones municipales Alcaldía Economía Se trata de un municipio fundamentalmente agrícola cuya economía se basa en el olivo. Cultura Monumentos Iglesia parroquial de Nuestra Señora de la Estrella, templo barroco. Antigua Cámara Agraria (Hoy hogar del jubilado). Casa Consistorial.","Santiago de Calatrava cuenta con una población de 657 habitantes a fecha de 2023, según el INE."
¿Qué animales se pueden encontrar en Despeñaperros?,1524,"El Parque natural de Despeñaperros es un espacio natural protegido situado en el municipio de Santa Elena, al norte de Andalucía y excavado por el río Despeñaperros. Fue declarado Parque natural por la Junta de Andalucía por sus valores geológicos, paisajísticos, así como por su flora y fauna destacables, y cuenta con una extensión de 7649 ha. Por otra parte, en el parque natural existen treinta endemismos únicos en el mundo y otras especies únicas en la península ibérica. Fauna Hay una importante presencia de ciervo y jabalí, sobre los que se mantienen autorizadas monterías de caza, pero es más destacable la existencia de algunos pocos ejemplares de lince ibérico y de lobo ibérico, así como pequeños carnívoros como el zorro, el meloncillo y el gato montés. Entre las aves que habitan Despeñaperros destaca el águila imperial y el buitre leonado.","En Despeñaperros se pueden encontrar principalmente ciervos y jabalíes, aunque también pueden encontrarse con menor probabilidad linces, lobos y zorros. En cuanto a aves, destacan el águila imperial y el buitre leonado."
¿Cuál es la longitud del río Cambil?,2397,"El río Cambil es un río del sur de la península ibérica perteneciente a la cuenca hidrográfica del Guadalquivir, que discurre íntegramente por la provincia de Jaén (España). Curso El río nace en pleno centro de la localidad de Cambil, de la confluencia del río Oviedo y el río Villanueva. Realiza un recorrido de unos 9 km, primero en dirección norte-sur y después en sentido este-oeste hasta su desembocadura en el río Guadalbullón, a su vez afluente del río Guadalquivir. Tiene por afluente al río Arbuniel.",El río Cambil tiene una extensión de 9 kilómetros.
Cuéntame la historia del tesoro de Torredonjimeno,2040,"El tesoro de Torredonjimeno es un conjunto de orfebrería visigoda compuesto por varias coronas votivas que los reyes visigodos ofrecieron a la Iglesia. Es muy parecido al Tesoro de Guarrazar aunque algo más tosco, posiblemente las coronas estuvieran dedicadas a las santas Justa y Rufina. Fue encontrado en 1926 en Torredonjimeno, provincia de Jaén, cerca de la actual Ermita de la Virgen de Consolación, en una finca de olivar, a 2 km del núcleo urbano del pueblo y a 4 km de Martos, por un campesino que se encontraba trabajando en el campo. Pensando que las piezas carecían de valor, se las dio a los hijos que se entretenían desmontando las joyas y mezclándolas con barro. Tiempo después apareció un trapero que compró las piezas. Ahí se le pierde el rastro, hasta que vuelve a aparecer en los años 40, fragmentado. El Tesoro se encuentra actualmente repartido entre los Museos Arqueológicos de Madrid, Barcelona y Córdoba.​ Corona La corona votiva que se conserva en la sede de Barcelona del MAC iría suspendida sobre el altar de una iglesia como ofrenda de los poderosos de la época a Dios y a los santos, con el fin de obtener su protección.","El tesoro de Torredonjimeno es un conjunto de orfebrería visigoda compuesto por varias coronas votivas que los reyes visigodos ofrecieron a la Iglesia. Fue encontrado en 1926 en Torredonjimeno, provincia de Jaén, cerca de la actual Ermita de la Virgen de Consolación por un campesino que se encontraba trabajando en el campo. Pensando que las piezas carecían de valor, se las dio a los hijos que se entretenían desmontando las joyas y mezclándolas con barro. Tiempo después apareció un trapero que compró las piezas. Ahí se le pierde el rastro, hasta que vuelve a aparecer en los años 40. Actualmente está repartido entre los Museos Arqueológicos de Madrid, Barcelona y Córdoba, aunque en el castillo de Torredonjimeno se exponen sus réplicas."
¿Por qué se libró la batalla de Bailén?,2153,"La batalla de Bailén se libró durante la Guerra de la Independencia Española y supuso la primera derrota en campo abierto de la historia del ejército napoleónico. Tuvo lugar el 19 de julio de 1808 junto a la ciudad jienense de Bailén. Enfrentó a un ejército francés de unos 21 000 soldados al mando del general Dupont con otro español más numeroso (unos 27 000) a las órdenes del general Teodoro Reding, aunque el general en jefe del llamado Ejército de Andalucía era el general Castaños.","La batalla de Bailén se libró durante la Guerra de la Independencia Española para detener el avance del ejército napoleónico hacia el sur de España y proteger Andalucía, donde se organizaban tropas españolas para resistir la ocupación francesa."
¿Qué representa el Mosaico de los Amores?,1351,"A partir del año 2011, con la creación del Conjunto Arqueológico de Cástulo,​ y a través del proyecto de investigación Forum MMX,​ se han retomado las excavaciones arqueológicas que han sacado a la luz restos de edificaciones públicas, concretamente un posible templo de época imperial del siglo II​ que cuenta con muros estucados con motivos geométricos​ y un pavimento de mosaico en un gran estado de conservación.​ Hallazgos Mosaico de los Amores El mosaico es una alfombra de más de 750.000 teselas enlazadas en el suelo de un edificio, que data alrededor del siglo II o I a. C.​ Se trata de una composición geométrica en blanco, negro y ocre, marcando los emblemas por sus cuatro lados.","El Mosaico de los Amores representa que el exceso de pasión tiene sus consecuencias trágicas. A través de historias mitológicas como el Juicio de Paris y el mito de Selene y Endimión, se muestra cómo el amor y el deseo pueden llevar a resultados destructivos y finales trágicos. Los animales y Erotes en el mosaico refuerzan esta idea, simbolizando el engaño y la seducción."
¿Dónde puede crecer la Viola cazorlensis?,1553,"La Violeta de Cazorla o Viola cazorlensis es una especie endémica de la Sierra de Cazorla, Segura y las Villas, de carácter rupícola florece en primavera sobre las rocas calizas de la Sierra. También se han encontrado ejemplares en las vecinas Sierra Mágina y Sierra Del Segura. Taxonomía Viola cazorlensis fue descrita por Michel Gandoger y publicado en Bull. Assoc. Franç. Bot. 5: 226, en el año 1902.","La Viola cazorlensis es una especie endémica que crece en la Sierra de Cazorla, Segura y las Villas."
¿Cuánto pesa una serrana?,2566,"La pajuna o serrana es una raza vacuna española autóctona de Andalucía. Se distribuye por las provincias de Granada y Jaén. Con un peso de entre 375 kilos en hembras y 600 kilos en machos,​ esta raza posee un pelaje castaño con zonas oscurecidas; su cabeza es desproporcionadamente grande y su cara larga y recta. Utilizada para la tracción y la producción de carne.","Una pajuna o serrana puede pesar alrededor de 600 kilos en el caso de los machos, y 375 kilos en el caso de las hembras."
¿Cuál es la altura de Jabalcuz?,1520,"Se sitúa entre los términos municipales de Los Villares, Jamilena, Torredelcampo y Jaén, y su altitud es de 1614 m s. n. m. Jabalcuz suele ser considerada erróneamente de manera popular como un volcán,​ siendo en realidad una elevación caliza de origen sedimentario donde existen manantiales termales de origen kárstico, cuyas aguas se calientan debido al gradiente geotérmico.​ La existencia de estos manantiales termales determinó la construcción del antiguo balneario y jardines de Jabalcuz.",El monte de Jabalcuz tiene una altitud de 1614 metros sobre el nivel del mar.
¿Cómo está organizado el Pleno de Jaén?,1456,"Órganos de gobierno Pleno El Pleno de Jaén está compuesto por 27 concejales elegidos democráticamente cada cuatro años. Después de las elecciones municipales de 2023, forman parte de ella 11 concejales del Partido Socialista Obrero Español, 11 del Partido Popular, 3 de Jaén Merece Más y 2 de Vox. Junta de Gobierno La Junta de Gobierno de Jaén se encarga de administrar los impuestos municipales, para costear los servicios públicos y la construcción de infraestructuras. Está presidida por el alcalde.","Después de las elecciones municipales de 2023, el Pleno de Jaén está compuesto por 27 concejales de los que 11 son de PSOE, otros 11 de PP, 3 de Jaén Merece Más y 2 de Vox."
¿Qué localidades constituyen el inicio y fin de la A-44?,2621,"La autovía de Sierra Nevada-Costa Tropical o A-44​​ es una autovía de España dependiente de la Red de Carreteras del Estado que comunica Bailén (Jaén) con La Gorgoracha (Granada). Si bien tradicionalmente se le ha denominado \""autovía Bailén-Motril\"", dicha denominación es errónea, pues a diferencia de su predecesora la N-323, solo discurre entre Bailén y La Gorgoracha. También es incorrecta la denominación \""autovía Granada-Motril\"".","La autovía de Sierra Nevada-Costra Tropical o A-44 tiene como inicio la localidad de Bailén en Jaén, y la localidad de La Gorgoracha en Granada como fin."
¿Qué línea de tren debería coger para ir desde Jaén a Madrid?,2571,"La línea 58 (Madrid - Jaén) es una línea ferroviaria realizada por servicios MD que recorre la mitad sur de España.​ Discurre por vías convencionales electrificadas a 3 000 V CC de ancho ibérico, pertenecientes a Adif. Es operada por la sección de Media Distancia de Renfe Operadora mediante trenes Serie 499.​ Anteriormente era conocida como línea R8.","Para viajar entre Jaén y Madrid, está habilitada la vía ferroviaria Línea 58 de media distancia."
¿Cómo se llama el actual presidente de Andalucía?,,,El actual presidente de la comunidad de Andalucía es Juanma Moreno Bonilla.
¿Qué ingredientes lleva el cocido?,,,"El cocido es un guiso hecho en olla que lleva carne, embutido, verduras, patatas o zanahorias y principalmente alguna legumbre."
¿De qué trata el libro de El capitán Alatriste?,,,"El libro de El capitán Alatriste, escrito por Arturo Pérez-Reverte, trata sobre un soldado veterano de los tercios de Flandes que malvive en el Madrid del siglo XVII, alquilando su espada a todo aquel que la necesite."
¿Quién es el autor de la canción Un beso y una flor?,,,El autor de la canción Un beso y una flor es Nino Bravo.
¿En qué equipo juega actualmente Leo Messi?,,,"Actualmente, Lionel Messi juega en el Inter de Miami."
¿Cuál es el río más largo del mundo?,,,El río más largo del mundo es el Amazonas.
